millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
318614,1758488703.40,-202.61,-36.92,-236.97,
319013,1758488703.80,131.62,-372.92,-195.12,
319412,1758488704.20,190.69,-439.16,-54.56,
319818,1758488704.60,468.44,-865.34,294.46,
320219,1758488705.00,854.48,-1338.49,658.91,
320616,1758488705.40,1258.31,-2035.79,820.62,
321018,1758488705.80,1436.59,-2333.90,470.10,
321418,1758488706.20,1368.45,-2103.74,58.65,
321818,1758488706.60,1071.87,-1535.58,-316.34,
322217,1758488707.00,657.62,-589.69,-652.07,
322618,1758488707.40,339.10,228.40,-806.34,
323017,1758488707.80,57.92,729.35,-758.07,
323444,1758488708.20,-309.10,1063.14,-641.24,
323819,1758488708.60,-660.91,1303.91,-584.52,
324219,1758488709.00,-885.90,1480.50,-619.27,
324619,1758488709.40,-1018.42,1666.25,-592.56,
